Misspelling,RealWord,pyspellchecker_correction,textblob_correction,aspell_correction,bert_correction
boofay,buffet,booty,booty,boo fay,boo
boorjwazee,bourgeoisie,,boorjwazee,bookcase,[UNK]
booteek,boutique,bootee,booted,bootee,j
boquet,bouquet,bouquet,bouquet,bouquet,b
borgwasy,bourgeoisie,,borgwasy,Borges,[UNK]
boundry,boundary,boundary,boundary,boundary,missing
bouy,buoy,buy,body,buoy,[UNK]
bowkay,bouquet,okay,okay,okay,[UNK]
boyant,buoyant,buoyant,buoyant,buoyant,j
boycot,boycott,boycott,boycott,boycott,c
brazeer,brassiere,brazier,brazier,brazer,[UNK]
breef,brief,brief,brief,breed,[UNK]
brocher,brochure,brother,brother,brioche,blank
brocolee,broccoli,bricole,brocolee,broccoli,[UNK]
broge,brogue,broke,broke,brogue,e
brooz,bruise,broom,brook,brood,c
bruse,bruise,brush,brush,bruise,[UNK]
brusk,brusque,brusk,brush,brisk,[UNK]
buda,Buddha,bud,buds,buds,bud
bullevard,boulevard,boulevard,boulevard,boulevard,unknown
bullyan,bouillon,bully,pullman,bullying,[UNK]
bunji,bungee,bunch,bunch,bunk,[UNK]
burbon,bourbon,bourbon,bourbon,Bourbon,unknown
burjun,burgeon,burn,burn,bur jun,[UNK]
buro,bureau,burn,burn,Biro,[UNK]
burzwah,bourgeois,,burzwah,Bursa,[UNK]
busness,business,business,business,business,[UNK]
butiful,beautiful,dutiful,dutiful,dutiful,here
byast,biased,blast,beast,bast,by
bycicle,bicycle,bicycle,bicycle,bicycle,[UNK]
cabnet,cabinet,cabinet,cabinet,cabinet,[UNK]
cachup,catchup,catchup,cactus,cache,c
cockateel,cockatiel,cockateel,cockateel,cockatiel,cock
cacoon,cocoon,cocoon,cannon,cocoon,c
caese,cease,case,case,cease,italian
caf,calf,can,can,cafe,c
cafay,cafe,away,away,cafe,[UNK]
cafine,caffeine,canine,fine,caffeine,caf
caldesack,cul-de-sac,,caldesack,Calder's,[UNK]
calfes,calves,calves,calves,cafes,[UNK]
calfs,calves,calfs,calls,calf's,calf
calliflower,cauliflower,cauliflower,cauliflower,cauliflower,unknown
callis,callus,calls,calls,callus,latin
camelion,chameleon,chameleon,camelia,came lion,[UNK]
camoflage,camouflage,camouflage,camoflage,camouflage,[UNK]
campain,campaign,campaign,campaign,campaign,french
canabel,cannibal,capable,canal,Anabel,c
canabelyze,cannibalize,,canabelyze,canalise,[UNK]
canew,canoe,cane,anew,cane,[UNK]
canidate,candidate,candidate,candidate,candidate,unknown
cannabile,cannibal,cantabile,cannabile,cantabile,unknown
cantalope,cantaloupe,cantaloupe,cantalope,cantaloupe,[UNK]
canye,canaille,cane,cane,cane,[UNK]
capter,captor,chapter,chapter,chapter,unknown
captian,captain,captain,captain,Capetian,english
captin,captain,captain,captain,captain,capt
caraboo,caribou,carabao,carbon,caribou,[UNK]
caraff,carafe,carafe,caraffe,carafe,[UNK]
carcus,carcass,circus,caucus,caucus,latin
carnavor,carnivore,carnivore,carnivora,carnivora,unknown
carosel,carousel,carousel,arose,carousel,[UNK]
carrage,carriage,carriage,carriage,carriage,unknown
carrear,career,arrear,career,Carrier,unknown
cartledge,cartilage,cartridge,cartridge,cart ledge,[UNK]
casarole,casserole,casserole,casarole,casserole,casa
cassim,chasm,cassia,classic,Cassie,[UNK]
cataclism,cataclysm,cataclysm,cataclysm,cataclysm,[UNK]
catagory,category,category,category,category,[UNK]
catapiller,caterpillar,,catapiller,Caterpillar,unknown
catastrofy,catastrophe,,catastrofy,catastrophe,cat
catchip,ketchup,catchup,catch,cat chip,[UNK]
cavren,cavern,cavern,cavern,cavern,unknown
ceaser,caesar,cease,ceased,cease,void
cellabration,celebration,celebration,celebration,celebration,omitted
celler,cellar,cellar,cellar,cellar,cell
cemetary,cemetery,cemetery,cemetery,cemetery,[UNK]
centenal,sentinel,central,central,centennial,latin
centerfuge,centrifuge,centrifuge,centerfuge,centrifuge,[UNK]
centrafuge,centrifuge,centrifuge,centrafuge,centrifuge,[UNK]
cercomstance,circumstance,circumstance,circumstance,circumstance,[UNK]
civalazation,civilization,civilization,civilization,civilisation,c
champain,champagne,champaign,campaign,Champlain,champ
chandeleer,chandelier,chandelier,chandelier,chandelier,[UNK]
charizma,charisma,charisma,charizma,charisma,[UNK]
chartroose,chartreuse,chartreuse,chartroose,chartreuse,[UNK]
chassy,chassis,classy,class,Chase,[UNK]
chawk,chalk,chalk,chalk,hawk,[UNK]
cheatta,cheetah,cheat,cheat,cheat,[UNK]
cheeta,cheetah,cheetah,cheetah,cheetah,[UNK]
chello,cello,hello,hello,cello,[UNK]
chimmeny,chimney,chimney,chimney,chimney,[UNK]
chisle,chisel,chisel,chisel,chisel,[UNK]
chizzel,chisel,chisel,chisel,chisel,[UNK]
chochka,tchotchke,chock,chochka,chock,[UNK]
chocolot,chocolate,chocolate,chocolate,chocolate,[UNK]
ciotee,coyote,cited,cited,cite,[UNK]
circit,circuit,circuit,circuit,circuit,:
ciriculum,curriculum,curriculum,curriculum,curriculum,latin
clairvoiant,clairvoyant,clairvoyant,clairvoiant,clairvoyant,english
clammer,clamber,clammer,clamber,clammier,[UNK]
clammer,clamor,clammer,clamber,clammier,[UNK]
claravoyant,clairvoyant,clairvoyant,claravoyant,clairvoyant,[UNK]
clearstory,clerestory,clearstory,clearstory,clear story,not
cleeshay,cliché,,cleeshay,clash,[UNK]
cloisonay,cloisonné,cloison,cloisonay,cloisonne,[UNK]
cloreen,chlorine,colleen,cloreen,Coleen,[UNK]
coaless,coalesce,confess,confess,coals,[UNK]
coalessense,coalescence,coalescence,coalescence,coalescence,[UNK]
codeen,codeine,codein,codein,codeine,code
coersion,coercion,coercion,coercion,coercion,error
cogniscent,cognizant,cognoscente,cogniscent,cognoscente,[UNK]
cohabitating,cohabiting,cohabitation,cohabitating,cohabitation,:
cokes,coax,cokes,comes,cokes,coke
colaboration,collaboration,collaboration,collaboration,collaboration,omitted
coleeg,colleague,college,college,college,c
colera,cholera,cholera,cholera,cholera,cole
colleage,colleague,college,college,colleague,[UNK]
collegate,collegiate,collegiate,collegiate,collegiate,[UNK]
collender,colander,cullender,callender,colander,unknown
collocweall,colloquial,,collocweall,colloquially,[UNK]
collone,cologne,colone,colonel,Collin,[UNK]
colum,column,column,column,column,col
come,comb,come,come,come,come
comfterble,comfortable,,comfterble,comfortable,used
comerant,cormorant,covenant,covenant,cormorant,here
comission,commission,commission,commission,commission,error
commedian,comedian,comedian,comedian,comedian,english
commision,commission,commission,commission,commission,error
committment,commitment,commitment,commitment,commitment,murder
comotion,commotion,commotion,commotion,commotion,omitted
communikay,communiqué,community,community,community,[UNK]
compeat,compete,compleat,compact,compete,[UNK]
competative,competitive,competitive,competitive,competitive,not
complextion,complexion,completion,complexion,complexion,omitted
concatinate,concatenate,concatenate,concatinatae,concatenate,correct
conceet,conceit,concept,concept,concert,[UNK]
concensus,consensus,consensus,consensus,consensus,latin
conceous,conscious,concerns,conscious,conscious,correct
conchance,conscience,,conchance,con chance,[UNK]
conchus,conscious,conch's,concur,conchs,unknown
concider,consider,consider,consider,conciser,unknown
concur,conquer,concur,concur,concur,correct
condem,condemn,condemn,condemn,condemn,[UNK]
confety,confetti,confess,confess,confetti,[UNK]
conosuer,connoisseur,conquer,conquer,consumer,[UNK]
conotation,connotation,connotation,consolation,connotation,:
conseat,conceit,consent,consent,consent,[UNK]
consevible,conceivable,conservable,consevible,conceivable,unknown
consistant,consistent,consistent,consistent,consistent,omitted
contagen,contagion,contain,contain,contagion,unknown
continuem,continuum,continue,continued,continue,[UNK]
continuely,continually,continue,continued,continually,omitted
contracter,contractor,contracted,contracted,contractor,contract
contry,country,country,country,country,:
convaless,convalesce,convalesce,convaless,convalesce,death
convense,convince,converse,converse,convenes,read
conyak,cognac,conga,sonya,con yak,[UNK]
coo,coup,coo,too,coo,co
cooger,cougar,cooler,cooper,cooker,unknown
cookoo,cuckoo,cook,cook,Cook,cook
coolot,culottes,cool,clot,Colt,cool
coordanate,coordinate,coordinate,coordinate,coordinate,[UNK]
corale,chorale,coral,coral,coracle,coral
cordoroy,corduroy,corduroy,cordoroy,corduroy,[UNK]
coregated,corrugated,created,created,corrugated,omitted
corellation,correlation,corelation,correlation,correlation,unknown
cornel,colonel,cornel,corner,Cornell,john
correllate,correlate,correlate,correllate,correlate,[UNK]
correlasion,correlation,correlation,correlation,correlation,omitted
correograph,choreograph,choreograph,correograph,choreograph,omitted
corispond,correspond,correspond,correspond,correspond,[UNK]
corse,course,corse,course,coarse,[UNK]
corus,chorus,chorus,corps,Corvus,[UNK]
counterfit,counterfeit,counterfeit,counteract,counterfeit,:
councel,council,council,council,council,[UNK]
counciler,councilor,councilor,councilor,council,council
counsil,counsel,council,council,council,[UNK]
cramugin,curmudgeon,,cramugin,cramming,[UNK]
cratashous,cretaceous,,cratashous,Cretaceous,latin
creasoat,creosote,,creasoat,Crest,[UNK]
creater,creator,create,greater,Crater,[UNK]
cresent,crescent,present,present,crescent,:
cresh,creche,fresh,fresh,crash,[UNK]
crewsant,croissant,crewman,crewsant,crews ant,unknown
criteak,critique,creak,creak,creak,[UNK]
critisize,criticize,criticize,criticize,criticise,[UNK]
critque,critique,critique,critique,critique,c
croshet,crochet,crochet,crossed,crochet,[UNK]
croch,crotch,crotch,crouch,crotch,c
crockadile,crocodile,crocodile,crockadile,crocodile,[UNK]
cronological,chronological,chronological,chronological,chronological,written
crooz,cruise,crook,room,crook,[UNK]
crowkay,croquet,crowbar,crowkay,croaky,crow
crowshay,crochet,crossway,crossway,crow shay,[UNK]
crucifiction,crucifixion,crucifixion,crucifiction,Crucifixion,omitted
cruze,cruise,crude,crude,Cruz,cruz
cubburd,cupboard,,cubburd,cubed,[UNK]
cummulative,cumulative,cumulative,cumulative,cumulative,[UNK]
cumpus,compass,campus,lupus,campus,latin
cuple,couple,couple,couple,couple,cup
curage,courage,courage,courage,courage,[UNK]
curiocity,curiosity,curiosity,curiosity,curiosity,unknown
curios,curious,curios,curious,curios,[UNK]
curiousity,curiosity,curiosity,curiosity,curiosity,curious
curnel,colonel,cornel,turned,Cornell,[UNK]
curtesy,courtesy,courtesy,courtesy,courtesy,[UNK]
curteus,courteous,curious,curious,courteous,unknown
curvasious,curvaceous,curvacious,curvasious,curvaceous,latin
cushin,cushion,cushion,tushin,cushion,[UNK]
cusine,cuisine,cuisine,cousine,cuisine,[UNK]
dabree,debris,dare,degree,darer,[UNK]
dabue,debut,daube,table,dauber,[UNK]
dackery,daiquiri,hackery,lackey,decry,[UNK]
dalmation,dalmatian,dalmatian,salvation,Dalmatian,[UNK]
dam,damn,dam,dam,dam,dam
darma,dharma,drama,drama,drama,[UNK]
daspora,diaspora,diaspora,disport,Diaspora,[UNK]
daybue,debut,maybe,danube,dauber,[UNK]
decern,discern,decern,desert,discern,correct
deciple,disciple,decile,decide,disciple,[UNK]
decission,decision,decision,decision,decision,error
deductable,deductible,deductible,deductible,deductible,correct
deepo,depot,deep,deep,deep,no
deezil,diesel,devil,devil,dozily,[UNK]
defenately,definitely,definitely,definitely,definitely,[UNK]
definately,definitely,definitely,definitely,definitely,correct
defineable,definable,definable,defineable,definable,used
defishant,deficient,defiant,defiant,defiant,[UNK]
delimeter,delimiter,decimeter,deliverer,delimiter,[UNK]
delimma,dilemma,dilemma,dilemma,dilemma,[UNK]
delt,dealt,felt,felt,Delta,del
demagog,demagogue,demagog,demagog,demagogy,[UNK]
demolishon,demolition,demolition,demolished,demolishing,blank
dependancy,dependency,dependancy,dependency,dependency,unknown
dependant,dependent,dependant,dependent,dependant,used
derageable,dirigible,damageable,derageable,damageable,unknown
deriair,derriere,despair,despair,drear,[UNK]
derth,dearth,death,death,dearth,r
descize,disguise,decide,desire,decide,[UNK]
desided,decided,decided,decided,decided,[UNK]
desireable,desirable,desirable,desirable,desirable,desire
desision,decision,decision,decision,decision,no
deskys,disguise,desks,desk,desks,p
desolve,dissolve,resolve,resolve,devolve,used
dessication,desiccation,destination,destination,desiccation,[UNK]
deterant,deterrent,veteran,veterans,deterrent,deter
determin,determine,determine,determine,determine,[UNK]
detur,detour,detour,deter,detour,det
deturance,deterrence,petulance,petulance,durance,caution
develope,develop,developed,develop,developer,e
developement,development,development,development,development,:
devestating,devastating,devastating,devastating,devastating,missing
dezert,dessert,desert,desert,desert,blank
diagnol,diagonal,diagnose,diagnose,diagonal,[UNK]
diaspra,diaspora,diaspora,diaspra,Diaspora,[UNK]
dialate,dilate,dilate,dilate,dilate,[UNK]
diarea,diarrhea,dare,area,Dare,[UNK]
dicipline,discipline,discipline,discipline,discipline,[UNK]
dicision,decision,decision,division,division,[UNK]
dicotomy,dichotomy,dichotomy,dichotomy,dichotomy,[UNK]
dieing,dying,dining,dining,dieting,die
diferent,different,different,different,different,used
differant,different,different,different,different,omitted
dimand,diamond,demand,demand,demand,dim
dingee,dinghy,dinged,dinner,dingier,[UNK]
dioreha,diarrhea,diorama,dioreha,diorama,[UNK]
diptheria,diphtheria,diphtheria,diphtheria,diphtheria,unknown
dipthong,diphthong,diphthong,dipthong,diphthong,[UNK]
disapait,dissipate,dispart,disapait,dissipate,[UNK]
disappline,discipline,disappoint,discipline,discipline,used
disapointed,disappointed,disappointed,disappointed,disappointed,missing
discimenation,dissemination,discrimination,discrimination,dissemination,[UNK]
discotek,discotheque,discover,discover,discoed,[UNK]
discoteque,discotheque,discotheque,discoteque,discotheque,[UNK]
discription,description,description,description,description,omitted
discusting,disgusting,disgusting,discussing,disgusting,:
disection,dissection,direction,direction,dissection,used
disertation,dissertation,dissertation,disertation,dissertation,used
disfunctional,dysfunctional,dysfunctional,disfunctional,dysfunctional,bold
divet,divot,dive,diet,divert,[UNK]
dockson,dachshund,docks,dickson,Dickson,docks
docsund,dachshund,jocund,docsund,tocsins,doc
doctorial,doctoral,doctoral,doctorial,doctoral,doctor
donejun,dungeon,donjon,donejun,done jun,done
doorjam,doorjamb,doorjamb,doorway,doorjamb,door
dorment,dormant,torment,torment,dormant,omitted
dosseay,dossier,dossal,ossea,Dorsey,[UNK]
doublely,doubly,double,double,doublet,missing
dout,doubt,out,out,doubt,[UNK]
droping,dropping,dropping,dropping,drooping,dropping
drowt,drought,drown,drown,drown,[UNK]
duble,double,double,double,double,dub
dum,dumb,due,dum,dim,du
eary,eerie,easy,mary,aery,ear
eazy,easy,easy,easy,easy,[UNK]
eczecutive,executive,executive,executive,executive,omitted
edeycat,etiquette,,edeycat,educate,unknown
editting,editing,editing,editing,editing,used
eeger,eager,eager,eager,eager,e
eejus,aegis,fetus,jesus,ekes,ee
elagant,elegant,elegant,elegant,elegant,[UNK]
elamentry,elementary,elementary,elementary,elementary,[UNK]
electorial,electoral,electoral,electoral,electoral,blank
embalance,imbalance,imbalance,balance,imbalance,incorrect
embaress,embarrass,embarrass,empress,embarrass,[UNK]
embarrasing,embarrassing,embarrassing,embarrassing,embarrassing,[UNK]
embeded,embedded,embedded,embedded,embedded,omitted
embrio,embryo,embryo,embryo,embryo,e
emense,immense,sense,sense,omens,[UNK]
empass,impasse,pass,pass,impasse,incorrect
emperial,imperial,imperial,imperial,imperial,omitted
empressed,impressed,impressed,expressed,empresses,omitted
encompus,encompass,encompass,encompass,encompass,used
endever,endeavor,never,never,endive,end
endur,endure,endure,endure,endue,r
enormass,enormous,enormous,enormous,enormous,[UNK]
entent,intent,intent,extent,entente,omitted
enterance,entrance,entrance,entrance,entrance,enter
enthuseastic,enthusiastic,enthusiastic,enthusiastic,enthusiastic,correct
entrapeneur,entrepreneur,entrepreneur,entrapeneur,entrepreneur,omitted
enuf,enough,end,end,Enif,[UNK]
enviroment,environment,environment,environment,environment,unknown
envoke,invoke,invoke,evoke,evoke,[UNK]
epitamy,epitome,epitaxy,epitamy,epitome,omitted
equivalant,equivalent,equivalent,equivalent,equivalent,omitted
escartment,escarpment,escarpment,escartment,escarpment,used
esthetic,aesthetic,esthetic,aesthetic,aesthetic,masculine
estuwarry,estuary,estuary,estuwarry,estuary,[UNK]
etamology,etymology,etymology,etiology,etymology,[UNK]
evesdrop,eavesdrop,eavesdrop,evesdrop,eavesdrop,unknown
eviserate,eviscerate,eviscerate,eviserate,eviscerate,ev
exagerate,exaggerate,exaggerate,exaggerate,exaggerate,correct
examin,examine,examine,examine,examine,blank
excelent,excellent,excellent,excellent,excellent,omitted
excell,excel,excel,except,excel,excel
excitment,excitement,excitement,excitement,excitement,[UNK]
exersize,exercise,exercise,exercise,exercise,correct
exhilerate,exhilarate,exhilarate,exhilerate,exhilarate,correct
exhorbitent,exorbitant,exorbitant,exorbitant,exorbitant,correct
exilerate,exhilarate,exonerate,exilerate,exile rate,[UNK]
