Misspelling,RealWord,pyspellchecker_correction,textblob_correction,aspell_correction,bert_correction
accomadate,accommodate,accommodate,accommodate,accommodate,unknown
accomodate,accommodate,accommodate,accommodate,accommodate,unknown
accomadated,accommodated,accommodated,accommodated,accommodated,omitted
accomodated,accommodated,accommodated,accommodated,accommodated,omitted
accomadates,accommodates,accommodates,accomadates,accommodates,unknown
accomodates,accommodates,accommodates,accommodate,accommodates,unknown
accomadating,accommodating,accommodating,accomadating,accommodating,omitted
accomodating,accommodating,accommodating,accomodating,accommodating,[UNK]
accomadation,accommodation,accommodation,accommodation,accommodation,unknown
accomodation,accommodation,accommodation,accommodation,accommodation,unknown
accomodations,accommodations,accommodations,accommodations,accommodations,[UNK]
accompanyed,accompanied,accompanied,accompanied,accompanied,used
acomplish,accomplish,accomplish,accomplish,accomplish,correct
acomplished,accomplished,accomplished,accomplished,accomplished,correct
acomplishment,accomplishment,accomplishment,accomplishment,accomplishment,[UNK]
acomplishments,accomplishments,accomplishments,accomplishments,accomplishments,used
acording,according,according,according,according,[UNK]
acuracy,accuracy,accuracy,accuracy,accuracy,[UNK]
accussed,accused,accused,accused,accused,omitted
acustom,accustom,custom,custom,accustom,[UNK]
acustommed,accustomed,accustomed,accustomed,accustomed,used
acheive,achieve,achieve,achieve,achieve,correct
achive,achieve,active,active,achieve,[UNK]
acheived,achieved,achieved,achieved,achieved,used
achived,achieved,achieved,achieved,achieved,used
acheivement,achievement,achievement,achievement,achievement,[UNK]
acheivment,achievement,achievement,achievement,achievement,[UNK]
achievment,achievement,achievement,achievement,achievement,[UNK]
acheivements,achievements,achievements,achievements,achievements,[UNK]
acheivments,achievements,achievements,achievements,achievements,[UNK]
achievments,achievements,achievements,achievements,achievements,[UNK]
acheives,achieves,achieves,achieved,achieves,[UNK]
acheiving,achieving,achieving,acheiving,achieving,[UNK]
acquaintence,acquaintance,acquaintance,acquaintance,acquaintance,[UNK]
acquiantence,acquaintance,acquaintance,acquaintance,acquaintance,not
aquaintance,acquaintance,acquaintance,acquaintance,acquaintance,[UNK]
aquiantance,acquaintance,acquaintance,acquaintance,acquaintance,silence
acquaintences,acquaintances,acquaintances,acquaintances,acquaintances,[UNK]
acquiantences,acquaintances,acquaintances,acquaintances,acquaintances,[UNK]
aquainted,acquainted,acquainted,acquainted,acquainted,used
adquire,acquire,acquire,acquire,acquire,correct
aquire,acquire,acquire,acquire,acquire,here
adquired,acquired,acquired,acquired,acquired,omitted
aquired,acquired,acquired,acquired,acquired,used
adquires,acquires,acquires,acquires,acquires,used
adquiring,acquiring,acquiring,acquiring,acquiring,correct
aquiring,acquiring,acquiring,acquiring,acquiring,[UNK]
aquisition,acquisition,acquisition,acquisition,acquisition,:
acquited,acquitted,acquired,acquired,acquitted,omitted
aquitted,acquitted,acquitted,quitted,acquitted,used
accross,across,across,across,across,[UNK]
actualy,actually,actually,actual,actually,not
adaption,adaptation,adaption,adoption,adaption,change
adaptions,adaptations,adaptions,adoption,adaptions,used
addres,adders,address,address,address,used
additinally,additionally,additionally,additinally,additionally,correct
addres,address,address,address,address,used
adres,address,dares,acres,adores,used
adress,address,dress,dress,address,[UNK]
addresable,addressable,addressable,addresable,addressable,missing
adresable,addressable,agreeable,agreeable,addressable,used
adressable,addressable,addressable,adressable,addressable,used
addresing,addressing,addressing,addressing,addressing,missing
adresing,addressing,dressing,dressing,addressing,missing
adressing,addressing,dressing,dressing,addressing,missing
adecuate,adequate,adequate,adequate,adequate,correct
adhearing,adhering,adhering,adhering,adhering,missing
adminstrate,administrate,administrate,adminstrate,administrate,blank
adminstration,administration,administration,administration,administration,omitted
adminstrative,administrative,administrative,administrative,administrative,omitted
admissability,admissibility,admissibility,advisability,admissibility,unknown
admissable,admissible,admissible,advisable,admissible,correct
addmission,admission,admission,admission,admission,added
adolecent,adolescent,adolescent,adolescent,adolescent,correct
addopt,adopt,adopt,adopt,adopt,[UNK]
addopted,adopted,adopted,adopted,adopted,omitted
addoptive,adoptive,adoptive,addoptive,adoptive,[UNK]
advertisment,advertisement,advertisement,advertisement,advertisement,[UNK]
advertisments,advertisements,advertisements,advertisements,advertisements,[UNK]
adviced,advice,advice,advice,advice,used
adviced,advised,advice,advice,advice,used
aeriel,aerial,aerial,aerial,Ariel,[UNK]
aeriels,aerials,aerials,series,aeries,unknown
affort,afford,afford,effort,afford,[UNK]
efford,afford,afford,effort,afford,[UNK]
effords,affords,efforts,efforts,affords,[UNK]
afficionado,aficionado,aficionado,afficionado,aficionado,used
afficionados,aficionados,aficionados,afficionados,aficionados,used
agian,again,again,again,again,[UNK]
agina,again,vagina,vagina,angina,e
agravate,aggravate,aggravate,aggravate,aggravate,[UNK]
agregate,aggregate,aggregate,aggregate,aggregate,correct
agregates,aggregates,aggregates,aggregate,aggregates,[UNK]
agression,aggression,aggression,aggression,aggression,[UNK]
agressive,aggressive,aggressive,aggressive,aggressive,not
agressively,aggressively,aggressively,agressively,aggressively,correct
agrieved,aggrieved,grieved,grieved,aggrieved,omitted
agre,agree,are,are,agree,e
agred,agreed,agree,agree,agreed,e
agreing,agreeing,agreeing,agreeing,agreeing,[UNK]
aggreement,agreement,agreement,agreement,agreement,[UNK]
agriculturalist,agriculturist,agriculturalist,agriculturalist,agriculturalist,farmer
airbourne,airborne,airborne,airbourne,airborne,##bourne
airporta,airports,airport,airport,airports,[UNK]
alchohol,alcohol,alcohol,alcohol,alcohol,[UNK]
alcoholical,alcoholic,alcoholic,alcoholic,alcoholically,not
algebraical,algebraic,algebraical,algebraical,algebraically,omitted
algoritm,algorithm,algorithm,algoritm,algorithm,[UNK]
algoritms,algorithms,algorithms,algoritms,algorithms,[UNK]
alege,allege,allege,allege,allege,e
alledge,allege,allege,allege,allege,zero
aleged,alleged,alleged,alleged,alleged,[UNK]
alledged,alleged,alleged,alleged,alleged,used
alledges,alleges,alleges,alleged,alleges,[UNK]
alegience,allegiance,allegiance,allegiance,allegiance,[UNK]
allegience,allegiance,allegiance,allegiance,allegiance,omitted
alliviate,alleviate,alleviate,alleviate,alleviate,[UNK]
allopone,allophone,allophone,allopone,Alpine,[UNK]
allopones,allophones,allophones,allopones,alpines,[UNK]
alot,allot,lot,clot,alto,[UNK]
alotted,allotted,plotted,allotted,allotted,here
alusion,allusion,allusion,allusion,allusion,[UNK]
almsot,almost,almost,almost,almost,[UNK]
alomst,almost,almost,almost,almost,e
alreayd,already,already,already,already,unknown
alsot,also,also,also,also,[UNK]
aslo,also,also,also,also,as
altho,although,altho,also,alto,[UNK]
althought,although,although,although,although,p
altough,although,although,although,although,here
alwasy,always,always,always,always,[UNK]
alwyas,always,always,always,always,welsh
amature,amateur,mature,mature,armature,[UNK]
ammend,amend,amend,amend,amend,blank
admendment,amendment,amendment,amendment,amendment,omitted
amendmant,amendment,amendment,amendment,amendment,[UNK]
ammendment,amendment,amendment,amendment,amendment,[UNK]
amoung,among,among,among,among,[UNK]
anual,anal,annual,annual,annual,a
analagous,analogous,analogous,analogous,analogous,[UNK]
analogeous,analogous,analogous,analogous,analogous,correct
analitic,analytic,analytic,analitic,analytic,[UNK]
anbd,and,and,and,and,[UNK]
androgenous,androgynous,androgynous,androgenous,androgynous,[UNK]
androgeny,androgyny,androgen,androgeny,androgen,[UNK]
agina,angina,vagina,vagina,angina,e
anihilation,annihilation,annihilation,anihilation,annihilation,destruction
anounced,announced,announced,announced,announced,used
anual,annual,annual,annual,annual,a
annuled,annulled,annulled,annulled,annulled,omitted
annoint,anoint,anoint,appoint,anoint,[UNK]
annointed,anointed,anointed,anointed,anointed,used
annointing,anointing,anointing,announcing,anointing,[UNK]
annoints,anoints,anoints,anoints,anoints,[UNK]
anomolies,anomalies,anomalies,anomalies,anomalies,[UNK]
anomolous,anomalous,anomalous,anomolous,anomalous,correct
anomoly,anomaly,anomaly,anomoly,anomaly,[UNK]
anonimity,anonymity,anonymity,unanimity,anonymity,unknown
anytying,anything,anything,anything,untying,that
anyhwere,anywhere,anywhere,anywhere,anywhere,this
appart,apart,apart,apart,apart,[UNK]
appartment,apartment,apartment,apartment,apartment,[UNK]
appartments,apartments,apartments,apartments,apartments,[UNK]
apolegetics,apologetics,apologetics,apolegetics,apologetic,greek
appologies,apologies,apologies,apologies,apologies,[UNK]
appology,apology,apology,apology,apology,[UNK]
appealling,appalling,appealing,appalling,appalling,[UNK]
aparent,apparent,parent,apparent,apparent,[UNK]
apparant,apparent,apparent,apparent,apparent,[UNK]
appealling,appealing,appealing,appalling,appalling,[UNK]
appearence,appearance,appearance,appearance,appearance,unknown
appearences,appearances,appearances,appearances,appearances,[UNK]
aplication,application,application,application,application,omitted
apprieciate,appreciate,appreciate,appreciate,appreciate,[UNK]
approachs,approaches,approach,approach,approach's,[UNK]
appropiate,appropriate,appropriate,appropriate,appropriate,used
approximitely,approximately,approximately,approximately,approximately,[UNK]
aproximately,approximately,approximately,approximately,approximately,[UNK]
apon,apron,upon,upon,apron,ap
arbitarily,arbitrarily,arbitrarily,arbitrarily,arbitrarily,:
arbitary,arbitrary,arbitrary,arbitrary,arbitrary,[UNK]
archeaologist,archaeologist,archaeologist,archeaologist,archaeologist,unknown
archeaologists,archaeologists,archaeologists,archeaologists,archaeologists,unknown
archaoelogy,archaeology,archaeology,archaoelogy,archaeology,[UNK]
archaology,archaeology,archaeology,archaology,archaeology,[UNK]
archeaologist,archeologist,archaeologist,archeaologist,archaeologist,unknown
archeaologists,archeologists,archaeologists,archeaologists,archaeologists,unknown
archaoelogy,archeology,archaeology,archaoelogy,archaeology,[UNK]
archaology,archeology,archaeology,archaology,archaeology,[UNK]
archtype,archetype,archetype,archtype,archetype,font
archtypes,archetypes,archetypes,archtypes,archetypes,font
archetect,architect,architect,architect,architect,[UNK]
archetects,architects,architects,architects,architects,used
archetectural,architectural,architectural,architectural,architectural,correct
archetecturally,architecturally,architecturally,archetecturally,architecturally,correct
archetecture,architecture,architecture,architecture,architecture,[UNK]
achive,archive,active,active,achieve,[UNK]
achived,archived,achieved,achieved,achieved,used
amature,armature,mature,mature,armature,[UNK]
arangement,arrangement,arrangement,arrangement,arrangement,[UNK]
erested,arrested,rested,rested,wrested,used
artical,article,article,arrival,article,correct
articel,article,article,article,article,[UNK]
artifical,artificial,artificial,artificial,artificial,bold
artifically,artificially,artificially,artificially,artificially,:
artillary,artillery,artillery,artillery,artillery,[UNK]
accension,ascension,ascension,accession,Ascension,omitted
asetic,ascetic,ascetic,aseptic,ascetic,not
spects,aspects,aspects,aspects,sects,[UNK]
assasin,assassin,assassin,assassin,assassin,[UNK]
assasinate,assassinate,assassinate,assassinated,assassinate,correct
assasinated,assassinated,assassinated,assassinated,assassinated,used
assasinates,assassinates,assassinates,assassinated,assassinates,[UNK]
assasination,assassination,assassination,assassination,assassination,[UNK]
assasinations,assassinations,assassinations,assassination,assassinations,[UNK]
assasins,assassins,assassins,assassins,assassins,[UNK]
assemple,assemble,assemble,assemble,assemble,[UNK]
assitant,assistant,assistant,assistant,assistant,[UNK]
asociated,associated,associated,associated,associated,used
asteriod,asteroid,asteroid,anterior,asteroid,[UNK]
assymetric,asymmetric,asymmetric,assymetric,asymmetric,[UNK]
atheistical,atheistic,atheistical,atheistical,atheistic,atheist
attaindre,attainder,attainder,attainder,attainder,omitted
attaindre,attained,attainder,attainder,attainder,omitted
attemt,attempt,attempt,attempt,attempt,[UNK]
attemted,attempted,attempted,attempted,attempted,omitted
attemting,attempting,attempting,attempting,attempting,[UNK]
attemts,attempts,attempts,attempts,attempts,[UNK]
attendence,attendance,attendance,attendance,attendance,used
attendent,attendant,attendant,attendant,attendant,used
attendents,attendants,attendants,attendants,attendants,used
attitide,attitude,attitude,attitude,attitude,[UNK]
atribute,attribute,tribute,tribute,attribute,[UNK]
atributes,attributes,attributes,attributes,attributes,omitted
audeince,audience,audience,audience,audience,[UNK]
autor,author,actor,author,author,r
authobiographic,autobiographic,autobiographic,authobiographic,autobiographic,bold
authobiography,autobiography,autobiography,autobiography,autobiography,unknown
auxilliary,auxiliary,auxiliary,axillary,auxiliary,omitted
avalable,available,available,available,available,[UNK]
avaliable,available,available,available,available,unknown
averageed,averaged,averaged,averaged,averaged,omitted
avation,aviation,aviation,aviation,aviation,ava
awya,away,away,away,away,aw
ackward,awkward,awkward,awkward,awkward,[UNK]
bakc,back,back,back,back,[UNK]
bcak,back,back,back,back,[UNK]
ackward,backward,awkward,awkward,awkward,[UNK]
bandwith,bandwidth,bandwidth,sandwich,bandwidth,here
bankrupcy,bankruptcy,bankruptcy,bankruptcy,bankruptcy,bank
barbeque,barbecue,barbeque,barque,barbecue,[UNK]
basicaly,basically,basically,basically,basically,:
basicly,basically,basically,easily,basically,correct
beatiful,beautiful,beautiful,beautiful,beautiful,[UNK]
beautyfull,beautiful,beautiful,beautiful,beautifully,beauty
becamae,became,became,became,became,[UNK]
beacuse,because,because,because,because,[UNK]
becasue,because,because,because,because,[UNK]
becouse,because,because,because,because,[UNK]
becuase,because,because,because,because,[UNK]
becomming,becoming,becoming,becoming,becoming,correct
befoer,before,before,before,before,[UNK]
beggin,begging,begin,begin,begging,[UNK]
beggin,begin,begin,begin,begging,[UNK]
begginer,beginner,begging,begging,beginner,[UNK]
begginers,beginners,beginners,begginers,beginners,[UNK]
beggining,beginning,beginning,beginning,beginning,[UNK]
begining,beginning,beginning,beginning,beginning,beginning
beginnig,beginning,beginning,beginning,beginning,used
begginings,beginnings,beginnings,beginnings,beginnings,[UNK]
behavour,behavior,behavior,behaviour,behaviour,[UNK]
behavour,behaviour,behavior,behaviour,behaviour,[UNK]
beleif,belief,belief,belief,belief,blank
belives,beliefs,believes,believes,believes,[UNK]
beleive,believe,believe,believe,believe,[UNK]
beleived,believed,believed,believed,believed,omitted
beleives,believes,believes,believes,believes,[UNK]
belives,believes,believes,believes,believes,[UNK]
beleiving,believing,believing,believing,believing,[UNK]
benificial,beneficial,beneficial,beneficial,beneficial,:
beneficary,beneficiary,beneficiary,beneficiary,beneficiary,unknown
benifit,benefit,benefit,benefit,benefit,ben
benifits,benefits,benefits,benefits,benefits,[UNK]
beseige,besiege,besiege,beside,besiege,[UNK]
beseiged,besieged,besieged,besieged,besieged,used
beseiging,besieging,besieging,beseiging,besieging,[UNK]
beastiality,bestiality,bestiality,beastiality,bestiality,murder
vetween,between,between,between,between,[UNK]
bilateraly,bilaterally,bilateral,bilateral,bilaterally,[UNK]
binominal,binomial,binominal,nominal,binomial,omitted
blaim,blame,claim,claim,balm,b
blaimed,blamed,claimed,claimed,blamed,omitted
blessure,blessing,pleasure,pressure,pleasure,bless
boaut,boat,boat,boat,boat,[UNK]
bondary,boundary,boundary,boundary,boundary,bond
boundry,boundary,boundary,boundary,boundary,missing
baout,bout,about,about,about,[UNK]
boaut,bout,boat,boat,boat,[UNK]
breakthough,breakthrough,breakthrough,breakthough,breakthrough,broken
briliant,brilliant,brilliant,brilliant,brilliant,blank
broady,broadly,broad,broad,broadly,broad
buffalos,buffaloes,buffalos,buffalo,Buffalo's,buffalo
buffaloes,buffalos,buffaloes,buffaloes,buffaloes,buffalo
beaurocracy,bureaucracy,,beaurocracy,bureaucracy,democracy
buring,burin,bring,during,burring,[UNK]
buring,burning,bring,during,burring,[UNK]
buring,burying,bring,during,burring,[UNK]
buisness,business,business,business,business,[UNK]
busineses,business,business,business,businesses,[UNK]
busness,business,business,business,business,[UNK]
busineses,businesses,business,business,businesses,[UNK]
casion,caisson,casino,action,casino,[UNK]
caluclate,calculate,calculate,calculate,calculate,latin
caluculate,calculate,calculate,calculate,calculate,[UNK]
calulate,calculate,calculate,calculate,calculate,c
caluclated,calculated,calculated,calculated,calculated,omitted
caluculated,calculated,calculated,calculated,calculated,omitted
calulated,calculated,calculated,calculated,calculated,[UNK]
calender,calendar,calender,callender,calendar,peter
caligraphy,calligraphy,calligraphy,caligraphy,calligraphy,[UNK]
campain,campaign,campaign,campaign,campaign,french
campains,campaigns,campaigns,campaigns,campaigns,[UNK]
cant,can't,cant,can,cant,not
candadate,candidate,candidate,candidate,candidate,[UNK]
cannister,canister,canister,canister,canister,unknown
cannisters,canisters,canisters,canister,canisters,:
cannonical,canonical,canonical,cannonical,canonical,correct
cant,cant,cant,can,cant,not
caperbility,capability,capability,capability,capability,[UNK]
carcas,carcass,carcass,carts,carcass,c
careing,caring,caring,carting,caring,:
carniverous,carnivorous,carnivorous,carniverous,carnivorous,unknown
cartilege,cartilage,cartilage,cartilage,cartilage,[UNK]
cartilidge,cartilage,cartridge,cartilage,cartilage,[UNK]
carthographer,cartographer,cartographer,carthographer,cartographer,[UNK]
cartrige,cartridge,cartridge,cartridge,cartridge,[UNK]
casette,cassette,casette,cassette,cassette,[UNK]
cassawory,cassowary,cassowary,cassawory,cassowary,[UNK]
cassowarry,cassowary,cassowary,cassowarry,cassowary,cherokee
casulaties,casualties,casualties,casualties,casualties,[UNK]
causalities,casualties,causalities,casualties,causalities,causal
casulaty,casualty,casualty,casualty,casualty,[UNK]
catagories,categories,categories,categories,categories,[UNK]
catagory,category,category,category,category,[UNK]
catterpilar,caterpillar,caterpillar,catterpilar,Caterpillar,[UNK]
catterpilars,caterpillars,caterpillars,catterpilars,caterpillars,[UNK]
cathlic,catholic,catholic,catholic,Catholic,celtic
cemetaries,cemeteries,cemeteries,cemetaries,cemeteries,[UNK]
cemetarey,cemetery,cemetery,cemetery,cemetery,[UNK]
cemetary,cemetery,cemetery,cemetery,cemetery,[UNK]
censur,censor,census,censure,censure,[UNK]
censur,censure,census,censure,censure,[UNK]
sensure,censure,ensure,ensure,ensure,not
cencus,census,census,census,census,latin
centruies,centuries,centuries,centuries,centuries,[UNK]
centruy,century,century,century,century,[UNK]
cerimonial,ceremonial,ceremonial,ceremonial,ceremonial,omitted
cerimonies,ceremonies,ceremonies,ceremonies,ceremonies,:
cerimonious,ceremonious,ceremonious,ceremonious,ceremonious,correct
cerimony,ceremony,ceremony,ceremony,ceremony,[UNK]
ceratin,certain,certain,certain,certain,[UNK]
certainity,certainty,certainty,certainty,certainty,certain
cervial,cervical,cervical,cervical,cervical,used
chariman,chairman,chairman,chairman,chairman,[UNK]
carachter,character,character,character,crocheter,[UNK]
charachter,character,character,character,character,:
charistics,characteristics,charities,charities,charismatics,:
charaterized,characterized,characterized,characterized,characterised,used
charachters,characters,characters,characters,characters,[UNK]
carismatic,charismatic,charismatic,carismatic,charismatic,english
chasr,chase,chair,chair,chars,[UNK]
chasr,chaser,chair,chair,chars,[UNK]
sheat,cheat,seat,seat,Shevat,[UNK]
chemcial,chemical,chemical,chemical,chemical,[UNK]
chemcially,chemically,chemically,chemically,chemically,[UNK]
chemicaly,chemically,chemical,chemical,chemically,chemical
chemestry,chemistry,chemistry,chemistry,chemistry,[UNK]
cheif,chief,chief,chief,chief,[UNK]
childbird,childbirth,childbirth,childbed,child bird,[UNK]
childrens,children's,children,children,children's,[UNK]
choosen,chosen,choose,chosen,chosen,[UNK]
curch,church,curch,church,Church,unknown
ciricuit,circuit,circuit,circuit,circuit,latin
civillian,civilian,civilian,civilian,civilian,civil
claimes,claims,claims,claims,claimers,not
claer,clear,clear,clear,clear,c
clera,clear,clear,clear,clear,[UNK]
cleareance,clearance,clearance,clearance,clearance,clear
claerer,clearer,clearer,clearer,clearer,unknown
claerly,clearly,clearly,clearly,clearly,unknown
clincial,clinical,clinical,clinical,clinical,used
clinicaly,clinically,clinical,clinical,clinically,j
coudl,cloud,could,could,could,c
caost,coast,cost,cost,coast,:
colateral,collateral,collateral,collateral,collateral,omitted
collegue,colleague,college,college,colleague,[UNK]
collegues,colleagues,colleagues,colleges,colleagues,[UNK]
collectable,collectible,collectable,collectable,collectable,missing
collonies,colonies,colonies,colonies,colonies,missing
collonade,colonnade,colonnade,collonade,colonnade,[UNK]
collony,colony,colony,colony,colony,[UNK]
colouration,coloration,coloration,coloration,colouration,colour
collosal,colossal,colossal,colossal,colossal,omitted
coloration,colouration,coloration,coloration,coloration,[UNK]
comback,comeback,comeback,cossack,comeback,comb
comming,coming,coming,coming,coming,used
comander,commandeer,commander,commander,commander,[UNK]
comander,commander,commander,commander,commander,[UNK]
comando,commando,commando,command,commando,used
comandos,commandos,commandos,commands,commandos,used
commandoes,commandos,commandoes,commander,commandos,commando
commmemorated,commemorated,commemorated,commmemorated,commemorated,omitted
commemerative,commemorative,commemorative,commemerative,commemorative,not
commericial,commercial,commercial,commercial,commercial,omitted
commericially,commercially,commercially,commericially,commercially,[UNK]
comision,commission,commission,commission,commission,here
comission,commission,commission,commission,commission,error
commision,commission,commission,commission,commission,error
comisioned,commissioned,commissioned,commissioned,commissioned,used
comissioned,commissioned,commissioned,commissioned,commissioned,omitted
commisioned,commissioned,commissioned,commissioned,commissioned,omitted
comisioner,commissioner,commissioner,commissioner,commissioner,unknown
comissioner,commissioner,commissioner,commissioner,commissioner,unknown
commisioner,commissioner,commissioner,commissioner,commissioner,[UNK]
comisioning,commissioning,commissioning,comisioning,commissioning,missing
comissioning,commissioning,commissioning,comissioning,commissioning,missing
commisioning,commissioning,commissioning,commisioning,commissioning,missing
comisions,commissions,commissions,commissions,commissions,[UNK]
comissions,commissions,commissions,commissions,commissions,omitted
commisions,commissions,commissions,commissions,commissions,used
comited,committed,vomited,vomited,vomited,used
comitted,committed,committed,committed,committed,here
commited,committed,committed,committed,committed,committed
comittee,committee,committee,committee,committee,com
commitee,committee,committee,committee,committee,commit
committe,committee,committed,committed,committee,committed
comiting,committing,vomiting,vomiting,vomiting,used
comitting,committing,committing,omitting,committing,missing
commiting,committing,committing,committing,committing,committing
commongly,commonly,commonly,commonly,commonly,used
communciation,communication,communication,communication,communication,used
comparitive,comparative,comparative,comparative,comparative,omitted
comparision,comparison,comparison,comparison,comparison,unknown
compatiblity,compatibility,compatibility,compatiblity,compatibility,not
competance,competence,competence,competence,competence,[UNK]
competant,competent,competent,competent,competent,omitted
compitent,competent,competent,competent,competent,omitted
competion,competition,completion,completion,completion,omitted
competive,competitive,compete,competitive,compete,correct
complier,compiler,complied,complied,compiler,[UNK]
competion,completion,completion,completion,completion,omitted
